State,Year,Month,Region,TotalHiredSeasonal,Mexican,HiredWorkers,Local,Intrastate,Interstate,TotalForeign
AL,1947,7.0,6.0,,,207000.0,,,,
AL,1963,9.0,6.0,21980.0,0.0,,21830.0,150.0,0.0,0.0
AL,1945,8.0,6.0,,,,,,,370.0
AL,1972,4.0,6.0,,,81000.0,,,,
AL,1964,10.0,6.0,16195.0,0.0,295000.0,16159.0,0.0,36.0,0.0
AL,1946,3.0,6.0,,,,,,,
AL,1956,4.0,6.0,,,147000.0,,,,
AL,1961,10.0,6.0,24335.0,0.0,405000.0,24275.0,0.0,60.0,0.0
AL,1965,5.0,6.0,5930.0,0.0,,5115.0,0.0,815.0,0.0
AL,1945,7.0,6.0,,,215000.0,,,,350.0
AL,1961,5.0,6.0,6845.0,0.0,,5661.0,0.0,1184.0,0.0
AL,1955,1.0,6.0,,,96000.0,,,,
AL,1962,9.0,6.0,24475.0,0.0,,23830.0,610.0,35.0,0.0
AL,1943,1.0,6.0,,,163000.0,,,,
AL,1942,4.0,6.0,,,225000.0,,,,
AL,1965,9.0,6.0,12630.0,0.0,,12555.0,75.0,0.0,0.0
AL,1946,10.0,6.0,,,301000.0,,,,
AL,1968,8.0,6.0,,,,2040.0,0.0,795.0,
AL,1973,6.0,6.0,,,,6525.0,160.0,365.0,
AL,1955,10.0,6.0,47094.0,0.0,429000.0,46994.0,0.0,0.0,0.0
AL,1957,9.0,6.0,26920.0,0.0,,26565.0,0.0,0.0,0.0
AL,1942,7.0,6.0,,,309000.0,,,,
AL,1969,1.0,6.0,,,46000.0,,,,
AL,1973,12.0,,,,,,,,
AL,1956,9.0,6.0,53642.0,0.0,,53301.0,0.0,0.0,0.0
AL,1946,8.0,6.0,,,,,,,
AL,1964,9.0,6.0,16935.0,0.0,,16860.0,40.0,35.0,0.0
AL,1957,10.0,6.0,19732.0,0.0,363000.0,19532.0,0.0,0.0,0.0
AL,1966,6.0,6.0,12425.0,0.0,,10684.0,515.0,1226.0,0.0
AL,1964,2.0,6.0,,,,,,,
AL,1967,7.0,6.0,7225.0,,189000.0,6040.0,220.0,965.0,0.0
AL,1971,10.0,6.0,9000.0,,156000.0,8950.0,0.0,50.0,0.0
AL,1961,11.0,6.0,10795.0,0.0,,10795.0,0.0,0.0,0.0
AL,1973,9.0,,,,,,,,
AL,1955,7.0,6.0,8241.0,0.0,265000.0,7921.0,0.0,0.0,0.0
AL,1963,2.0,6.0,,,,,,,
AL,1946,4.0,6.0,,,161000.0,,,,485.0
AL,1970,11.0,6.0,7380.0,,,7325.0,0.0,55.0,0.0
AL,1945,1.0,6.0,,,159000.0,,,,
AL,1942,10.0,6.0,,,447000.0,,,,
AL,1971,3.0,6.0,,,,,,,
AL,1968,2.0,6.0,,,,,,,
AL,1946,6.0,6.0,,,,,,,
AL,1962,6.0,6.0,15805.0,0.0,,14187.0,375.0,1243.0,0.0
AL,1965,2.0,6.0,,,,,,,
AL,1971,2.0,6.0,,,,,,,
AL,1960,5.0,6.0,6340.0,0.0,,5605.0,200.0,535.0,0.0
AL,1972,12.0,6.0,860.0,,,860.0,0.0,0.0,0.0
AL,1954,6.0,6.0,47196.0,0.0,,45771.0,0.0,400.0,0.0
AL,1969,2.0,6.0,,,,,,,
AL,1967,3.0,6.0,,,,,,,
AL,1971,5.0,6.0,,,,6370.0,115.0,115.0,
AL,1942,1.0,6.0,,,149000.0,,,,
AL,1945,9.0,6.0,,,,,,,4145.0
AL,1959,10.0,6.0,22215.0,0.0,418000.0,22120.0,50.0,45.0,0.0
AL,1965,8.0,6.0,1935.0,0.0,,1315.0,0.0,620.0,0.0
AL,1944,11.0,6.0,,,,,,,
AL,1945,4.0,6.0,,,160000.0,,,,
AL,1968,10.0,6.0,6850.0,,180000.0,6740.0,35.0,75.0,0.0
AL,1960,4.0,6.0,,,115000.0,,,,
AL,1943,12.0,6.0,,,,,,,
AL,1947,4.0,6.0,,,150000.0,,,,
AL,1967,2.0,6.0,,,,,,,
AL,1956,11.0,6.0,5865.0,0.0,,5865.0,0.0,0.0,0.0
AL,1947,1.0,6.0,,,152000.0,,,,
AL,1958,4.0,6.0,,,131000.0,,,,
AL,1955,9.0,6.0,63655.0,0.0,,63354.0,51.0,0.0,0.0
AL,1969,9.0,6.0,6520.0,,,6345.0,0.0,175.0,0.0
AL,1943,8.0,6.0,,,,,,,
AL,1963,3.0,6.0,,,,,,,
AL,1967,5.0,6.0,5210.0,,,4230.0,310.0,670.0,0.0
AL,1965,11.0,6.0,3965.0,0.0,,3965.0,0.0,0.0,0.0
AL,1954,11.0,6.0,,,,,,,
AL,1955,5.0,6.0,9732.0,0.0,,9707.0,0.0,0.0,0.0
AL,1945,11.0,6.0,,,,,,,360.0
AL,1968,5.0,6.0,,,,4598.0,237.0,175.0,
AL,1954,5.0,6.0,22519.0,0.0,,20769.0,0.0,700.0,0.0
AL,1966,3.0,6.0,,,,,,,
AL,1960,12.0,,,,,,,,
AL,1958,7.0,6.0,6565.0,0.0,259000.0,5899.0,101.0,190.0,0.0
AL,1968,4.0,6.0,,,91000.0,,,,
AL,1972,5.0,6.0,,,,5990.0,260.0,350.0,
AL,1961,3.0,,,,,,,,
AL,1963,4.0,6.0,,,135000.0,,,,
AL,1967,9.0,6.0,4270.0,,,4113.0,60.0,97.0,0.0
AL,1971,7.0,6.0,,,154000.0,9035.0,50.0,585.0,
AL,1955,11.0,6.0,8556.0,0.0,,8556.0,0.0,0.0,0.0
AL,1971,8.0,6.0,6275.0,,,5760.0,0.0,515.0,0.0
AL,1972,11.0,6.0,4860.0,,,4860.0,0.0,0.0,0.0
AL,1972,3.0,6.0,,,,,,,
AL,1947,5.0,6.0,,,,,,,
AL,1954,4.0,6.0,,,169000.0,,,,
AL,1944,8.0,6.0,,,,,,,
AL,1947,6.0,6.0,,,,,,,
AL,1944,4.0,6.0,,,183000.0,,,,
AL,1943,10.0,6.0,,,389000.0,,,,
AL,1956,7.0,6.0,4706.0,0.0,262000.0,4654.0,0.0,0.0,0.0
AL,1964,8.0,6.0,1215.0,0.0,,656.0,0.0,559.0,0.0
AL,1951,10.0,6.0,,,824000.0,,,,
AL,1962,1.0,6.0,,,69000.0,,,,
AL,1969,11.0,6.0,5150.0,,,5032.0,40.0,78.0,0.0
AL,1949,1.0,6.0,,,107000.0,,,,
AL,1944,2.0,6.0,,,,,,,
AL,1949,4.0,6.0,,,321000.0,,,,
AL,1955,8.0,6.0,10047.0,0.0,,10047.0,0.0,0.0,0.0
AL,1969,6.0,6.0,10385.0,,,8855.0,505.0,1025.0,0.0
AL,1961,8.0,6.0,1000.0,0.0,,1000.0,0.0,0.0,0.0
AL,1957,11.0,6.0,4931.0,0.0,,4931.0,0.0,0.0,0.0
AL,1959,5.0,,,,,,,,
AL,1953,5.0,6.0,11119.0,0.0,,11039.0,40.0,40.0,
AL,1966,12.0,6.0,860.0,,,860.0,0.0,0.0,0.0
AL,1970,12.0,6.0,840.0,,,790.0,50.0,0.0,0.0
AL,1958,2.0,,,,,,,,
AL,1950,1.0,6.0,,,107000.0,,,,
